Number,Equipment  Status,RAD  Center  (m),RAD  Center  (ft),Orient°  Azim.,Diameter  Ø  (mm),Length,Width,Depth,Type,Type,Number  of  Feeders,Size  of  the  Feeders,Customer,Equipment  Manufacturer,Equipment  Model,Mount  Description/Comments
['REMOVE' ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  205.0 ,  160.0 ,  63.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE' ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  205.0 ,  160.0 ,  63.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
['REMOVE' ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  205.0 ,  160.0 ,  63.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Kathrein  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[19.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[20.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[21.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[22.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[23.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[24.0 ,  'Proposed' ,  16.8 ,  '' ,  '' ,  '' ,  316.0 ,  202.0 ,  112.0 ,  'Triplexer' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Comba  Triplexer' ,  '' ,  '' ,  '' ,  '' ,  '']
[25.0 ,  'Existing' ,  16.8 ,  '' ,  '' ,  '' ,  220.0 ,  150.0 ,  50.0 ,  'TMA' ,  'STD' ,  1.0 ,  10.0 ,  'MTN' ,  '' ,  '' ,  'Ericsson  TTA' ,  '' ,  '' ,  '' ,  '' ,  '']
